City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Ust-Kulom,RU,61.6864,53.6902,7.86,92,100,6.96,overcast clouds
238,Mutoko,ZW,-17.397,32.2268,63.52,91,100,1.79,light rain
239,Bubaque,GW,11.2833,-15.8333,75.06,72,100,23.73,light rain
240,Eirunepe,BR,-6.6603,-69.8736,72.03,98,90,2.57,overcast clouds
241,Tabou,CI,4.423,-7.3528,77.43,86,63,3.98,light rain
242,Port-Gentil,GA,-0.7193,8.7815,80.78,78,100,6.58,overcast clouds
243,Kaeo,NZ,-35.1,173.7833,78.33,67,10,6.04,clear sky
244,Changying,CN,52.8733,123.3213,7.0,77,94,5.28,overcast clouds
245,Saldanha,ZA,-33.0117,17.9442,58.66,65,36,11.68,scattered clouds
246,Carnduff,CA,49.1667,-101.8009,0.1,96,100,6.15,overcast clouds
247,Alice Springs,AU,-23.7,133.8833,90.95,40,40,13.8,scattered clouds
248,Lesozavodsk,RU,45.4794,133.4244,4.77,86,29,8.86,scattered clouds
249,Maceio,BR,-9.6658,-35.7353,76.44,94,75,1.14,broken clouds
250,Lacdayan,PH,13.6,122.5333,84.79,70,80,3.11,broken clouds
251,Wanning,CN,18.8003,110.3967,67.21,67,90,16.24,overcast clouds
252,Batemans Bay,AU,-35.7167,150.1833,73.27,72,89,11.52,light rain
253,Visnes,NO,59.3556,5.2242,44.65,61,91,19.57,overcast clouds
254,Nurlat,RU,54.4277,50.8051,0.88,100,100,3.4,overcast clouds
255,Bengkulu,ID,-3.8004,102.2655,82.81,65,97,9.46,overcast clouds
256,Bandundu,CD,-3.3167,17.3667,71.89,91,94,1.28,overcast clouds
257,Lere,NG,10.387,8.5726,56.21,28,4,7.76,clear sky
258,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,23.02,light intensity shower rain
259,Sambava,MG,-14.2667,50.1667,75.0,84,27,5.99,scattered clouds
